id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,sets,seconds_per_set,repetitions_per_set,rest,video,thumbnail,pro_only,uses_weights,thumbnail_url,video_url
86802,Hip bridge - Bosu,strength,Glutes,"Lower Back, Hamstrings",Intermediate,Bosu,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1502.mp4,c9e355505320843c65603f10eaeaa14e8942.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/c9e355505320843c65603f10eaeaa14e8942.png,https://static.virtuagym.com/videos/2023_id1502.mp4
110979,"Double pole, duration, SkiErg",cardio,"Lats, All Abs","Biceps, Triceps, Back Shoulders",Novice,Strength Machines - Weight stack,repetition_based,0,,,"30,30,30,30,30",2023_id1902.mp4,e7ff09306adcb517829ff43698e8b7516253.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/e7ff09306adcb517829ff43698e8b7516253.png,https://static.virtuagym.com/videos/2023_id1902.mp4
86815,Neck retraction lying,strength,Neck,,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1630.mp4,45e8feaedc0b8d0492ec166a579897b7a9da.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/45e8feaedc0b8d0492ec166a579897b7a9da.png,https://static.virtuagym.com/videos/2023_id1630.mp4
110981,"Skating drills, SkiErg",cardio,"Lats, All Abs","Biceps, Triceps, Back Shoulders, Glutes",Novice,Strength Machines - Weight stack,repetition_based,0,,,"30,30,30,30,30",2023_id1904.mp4,30a4234decfe21747c52365344e9325aa3d5.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/30a4234decfe21747c52365344e9325aa3d5.png,https://static.virtuagym.com/videos/2023_id1904.mp4
86917,"Dead bug cross leg variation, right",strength,Obliques,Abs - Straight Abs,Novice,-,repetition_based,3,,"10,10,10","30,30,30,30,30",2023_id1647.mp4,31c5007d04d5d950baa3c7da9ebddca97d3b.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/31c5007d04d5d950baa3c7da9ebddca97d3b.png,https://static.virtuagym.com/videos/2023_id1647.mp4
113217,"Chest press, right - revvll",strength,Chest,"Triceps, Front Shoulders",Intermediate,Pulley,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1792m.mp4,5326d0a861abc6e2296bab9f25fc88e21036.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/5326d0a861abc6e2296bab9f25fc88e21036.png,https://static.virtuagym.com/videos/2023_id1792m.mp4
87014,Squat to elevator - ViPR,strength,"Quads, Glutes","Lower Back, Biceps",Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1140.mp4,6b17dabddf6d8adf8f128a740fc0c79f06b9.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6b17dabddf6d8adf8f128a740fc0c79f06b9.png,https://static.virtuagym.com/videos/2023_id1140.mp4
113222,"Fly to reverse fly seated, right - Kinesis",strength,"Chest, Upper Back, All Abs","Front Shoulders, Back Shoulders",Intermediate,"Kinesis, Exercise ball",repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1765m.mp4,f479f31b6e47ee28eef586fc4a81dcd5a2f1.png,FALSE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f479f31b6e47ee28eef586fc4a81dcd5a2f1.png,https://static.virtuagym.com/videos/2023_id1765m.mp4
87015,"Shoulder shake, alternated - ViPR",strength,Obliques,"Abs - Straight Abs, Front Shoulders",Beginner,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1243a.mp4,bb27609d217bed78cf46c40e3fd154aa8059.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/bb27609d217bed78cf46c40e3fd154aa8059.png,https://static.virtuagym.com/videos/2023_id1243a.mp4
113226,"Lunge, right - Kinesis",strength,"Quads, Glutes",Legs,Novice,Kinesis,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id2002.mp4,dd175803788726c517ba726d64b9b05bdbe0.png,FALSE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/dd175803788726c517ba726d64b9b05bdbe0.png,https://static.virtuagym.com/videos/2023_id2002.mp4
