id,exercise_name,category_name,primary_muscle_name,secondary_muscle_name,difficulty,equipment_name,exercise_type,sets,seconds_per_set,repetitions_per_set,rest_between_set,video_url_male,thumbnail_male,primary_joint_name,visible_for,exercise_intensity,intensity_value,distance,speed,met_id,gif_url,created_by,updated_by,created_by_type,updated_by_type,is_deleted
18980,"Seated leg press, right - MRB",strength,Quads,,Beginner,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0044.mp4,https://uploads.fitnfi.com/exercises/thumbnails/f0ea7d88d0c287224c23d20394d717ce02ac.png,"Hip,Knee,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20279,Straight arm pullover seated - Pulley,strength,Chest,,Beginner,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0218.mp4,https://uploads.fitnfi.com/exercises/thumbnails/84672c8892c374d4e57a5c77d4db4dead2a0.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
18981,"Seated leg press, left - MRB",strength,Quads,,Beginner,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0044m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/a6c44a5d7ee653d19599044261459562dbea.png,"Hip,Knee,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20280,Crossed triceps extension - Pulley,strength,Triceps,,Novice,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0213.mp4,https://uploads.fitnfi.com/exercises/thumbnails/5793abb67fa6365615a4edc34f4bce70ee13.png,"Elbow,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
18989,Stand up arms crossed,strength,Quads,,Novice,Bench,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0034.mp4,https://uploads.fitnfi.com/exercises/thumbnails/4b0d74c6454cee9fca384a8b62d83f0d0d89.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20288,"Lateral lunge on floor, right - VP",cardio,"Quads, Adductor",,Novice,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0281m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/00349260e28880a34914f78ff9790ab81eba.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
18990,Stand up arm swing,strength,Quads,,Novice,Bench,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0035.mp4,https://uploads.fitnfi.com/exercises/thumbnails/3beb3c03a5e8999765703356f0e3dc26e3c8.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20290,"Lateral Ali shuffle punch, right - AL",strength,"Quads, Chest",,Beginner,Speed ladder,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0188m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/acbeb558b1970b98b6962bee926c455685b4.png,"Hip,Knee,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
18991,Posterior leg stretch assisted,strength,Hamstrings,,Novice,Bench,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0038.mp4,https://uploads.fitnfi.com/exercises/thumbnails/fee06374b84acf0ab031a255e994adb3492a.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20530,Kneeling ab crunch rotated - Pulley,strength,All Abs,,Novice,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0225.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ca9a47986fb470c8bebcf89544ef13b237d0.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
